Sex	Year	Time.100	Time.200	Time.400
Men	1900	11.00	22.20	49.40
Men	1904	11.00	21.60	49.20
Men	1908	10.80	22.60	50.00
Men	1912	10.80	21.70	48.20
Men	1920	10.80	22.00	49.60
Men	1924	10.60	21.60	47.60
Men	1928	10.80	21.80	47.80
Men	1932	10.30	21.20	46.20
Men	1936	10.30	20.70	46.50
Men	1948	10.30	21.10	46.20
Men	1952	10.40	20.70	45.90
Men	1956	10.50	20.60	46.70
Men	1960	10.20	20.50	44.90
Men	1964	10.00	20.30	45.10
Men	1968	9.90	19.80	43.80
Men	1972	10.14	20.00	44.66
Men	1976	10.06	20.23	44.26
Men	1980	10.25	20.19	44.60
Men	1984	9.99	19.80	44.27
Men	1988	9.92	19.75	43.87
Men	1992	9.96	20.01	43.50
Men	1996	9.84	19.32	43.49
Men	2000	9.87	20.09	43.84
Men	2004	9.85	19.79	44.00
Men	2008	9.69	19.30	43.75
Men	2012	9.63	19.32	43.94
Men	2016	9.81	19.78	43.03
Women	1928	12.20	NA	NA
Women	1932	11.90	NA	NA
Women	1936	11.50	NA	NA
Women	1948	11.90	24.40	NA
Women	1952	11.50	23.70	NA
Women	1956	11.50	23.40	NA
Women	1960	11.00	24.00	NA
Women	1964	11.40	23.00	52.00
Women	1968	11.08	22.50	52.03
Women	1972	11.07	22.40	51.08
Women	1976	11.08	22.37	49.29
Women	1980	11.06	22.03	48.88
Women	1984	10.97	21.81	48.83
Women	1988	10.54	21.34	48.65
Women	1992	10.82	21.81	48.83
Women	1996	10.94	22.12	48.25
Women	2000	10.75	21.84	49.11
Women	2004	10.93	22.05	49.41
Women	2008	10.78	21.74	49.62
Women	2012	10.75	21.88	49.55
Women	2016	10.71	21.78	49.44
