Gas.cons	Age.band	Type	Floor.area.band	Loft.depth	Cavity.wall.ins	New.boiler
5000	3	Bungalow	2	Le	N	N
22000	6	Semi-detached	4	Gr	N	N
27000	1	Semi-detached	3	Gr	Y	N
14400	2	Flat	1	NA	N	N
23500	5	Detached	3	Gr	N	N
15500	5	Detached	2	Gr	N	Y
6000	4	Flat	1	Gr	N	Y
6000	4	Bungalow	2	Gr	N	Y
32000	2	Bungalow	4	Gr	N	N
15900	3	Semi-detached	2	Gr	Y	N
17000	2	Semi-detached	3	Gr	Y	Y
45000	2	Bungalow	2	Gr	N	Y
14000	2	Mid-terrace	2	Gr	Y	N
6000	3	Semi-detached	2	Gr	Y	Y
28000	4	Detached	3	Gr	N	N
11300	2	Semi-detached	2	Gr	N	N
8000	2	End-terrace	2	Gr	Y	N
6000	1	Mid-terrace	2	Gr	N	N
11600	4	Mid-terrace	3	Gr	Y	N
22000	4	Detached	4	Le	N	N
4500	2	Mid-terrace	2	Gr	N	N
14900	6	Detached	3	Gr	N	N
11600	3	Semi-detached	2	NA	N	Y
8200	4	Bungalow	2	Gr	N	Y
9800	6	Flat	2	NA	N	N
8500	2	End-terrace	2	Gr	Y	N
NA	4	Flat	2	Gr	Y	N
14600	3	Semi-detached	2	Le	Y	N
21500	1	Mid-terrace	3	Gr	Y	Y
15500	6	Bungalow	3	NA	N	N
3500	6	Detached	4	NA	N	N
15700	3	End-terrace	2	Gr	Y	N
16000	3	Semi-detached	3	Gr	N	N
2500	2	Flat	2	Gr	N	N
NA	6	Detached	3	Gr	Y	N
23000	4	Bungalow	3	Le	N	Y
5500	3	Bungalow	2	Gr	N	N
9300	1	Mid-terrace	3	NA	N	Y
16000	1	End-terrace	2	NA	N	N
8700	2	Semi-detached	3	Gr	N	N
4500	3	Semi-detached	2	Gr	N	Y
14300	1	Mid-terrace	2	Gr	N	N
14500	4	End-terrace	2	Gr	Y	Y
11600	2	Bungalow	2	Gr	N	Y
23500	4	Semi-detached	3	NA	Y	N
13400	3	Semi-detached	3	Gr	N	N
20500	3	Semi-detached	2	Gr	N	Y
13500	4	End-terrace	2	Gr	N	Y
19000	6	Detached	3	Gr	N	N
40000	1	Detached	4	Gr	Y	N
31000	4	Semi-detached	3	Gr	N	Y
22000	2	Semi-detached	3	Le	Y	N
12300	3	Semi-detached	2	Gr	Y	Y
6000	6	Detached	3	NA	N	Y
24500	1	Semi-detached	3	Gr	Y	N
9400	1	Mid-terrace	2	Gr	Y	N
31000	1	Semi-detached	4	Gr	Y	Y
20000	1	End-terrace	3	NA	N	N
15200	5	Semi-detached	2	Gr	N	Y
15400	4	Mid-terrace	2	Gr	Y	N
11200	4	Semi-detached	2	Gr	Y	Y
13600	2	Semi-detached	2	NA	Y	N
2500	4	Flat	1	Gr	N	N
10500	3	Semi-detached	2	Gr	Y	N
2000	3	Flat	2	Gr	N	Y
16500	2	Semi-detached	3	Gr	Y	Y
6000	2	Bungalow	1	Gr	N	Y
28000	6	Detached	3	Gr	N	N
15900	4	End-terrace	2	Le	N	N
12500	4	Bungalow	2	Gr	Y	N
17000	6	Semi-detached	2	Gr	N	N
1500	1	Mid-terrace	2	Gr	Y	Y
NA	4	End-terrace	2	NA	Y	N
8000	1	Mid-terrace	2	Gr	Y	N
19000	4	Bungalow	2	Gr	N	N
15000	4	Detached	3	Gr	N	N
17000	4	Semi-detached	3	Gr	Y	Y
NA	3	Flat	1	NA	Y	Y
11200	2	End-terrace	2	Gr	N	Y
7500	1	Mid-terrace	2	Gr	Y	Y
13600	2	Semi-detached	2	Gr	N	N
NA	5	Flat	1	Gr	N	N
9300	5	Semi-detached	2	Le	N	N
22000	2	Detached	3	Gr	N	N
